Label,en,es,fr,de
Sales by Product,Sales by Product,Ventas Por Producto,Ventes Par Produit,Umsatz Nach Produkten
Home,Home,Hogar,Domicile,Heim
Sales by Country,Sales by Country,Ventas Por País,Ventes Par Pays,Umsatz Nach Ländern
Report Title,European Sales Report,Título Del Informe,Titre Du Rapport,Titel Des Berichts
Top 5 Products,Top 5 Products,Top 5 Productos,Top 5 Des Produits,Top 5 Produkte
Filter by Country,Filter by Country,Filtrar Por País,Filtrer Par Pays,Filtern Nach Land
Top 10 Customers,Top 10 Customers,Top 10 Clientes,Top 10 Des Clients,Top 10 Kunden
Dev Camp,Dev Camp,Campamento De Desarrollo,Camp De Développement,Entwicklercamp
Sales by Category,Sales by Category,Ventas Por Categoría,Ventes Par Catégorie,Umsatz Nach Kategorie
Sales by City,Sales by City,Ventas Por Ciudad,Ventes Par Ville,Umsatz Nach Städten
Power BI,Power BI,Power BI,Power BI,Power BI
UserCulture,UserCulture,Userculture,Culture De L’Utilisateur,Benutzerkultur
Set Country,Set Country,Establecer País,Définir Le Pays,Land Festlegen
Set Product Filter,Set Product Filter,Establecer Filtro De Producto,Définir Le Filtre De Produit,Produktfilter Einstellen
