Object Type,Property,Name,English [en-US],Hebrew [he-IL]
Table,Caption,Customers,Customers,הלקוחות
Column,Caption,Customers[City],City,עיר
Column,Caption,Customers[Customer],Customer,לקוח
Column,Caption,Customers[Country],Country,מדינה
Column,Caption,Customers[City Location],City Location,מיקום העיר
Column,Caption,Customers[Flag],Flag,דגל
Column,Caption,Customers[Age],Age,גיל
Table,Caption,Sales,Sales,מכירות
Measure,Caption,Sales[Sales Revenue],Sales Revenue,הכנסות ממכירות
Measure,Caption,Sales[Units Sold],Units Sold,יחידות שנמכרו
Measure,Caption,Sales[Customer Count],Customers,הלקוחות
Measure,Caption,Sales[First Sale],First Sale,מכירה ראשונה
Measure,Caption,Sales[Last Sale],Last Sale,מכירה אחרונה
Measure,Caption,Sales[Orders],Orders,הזמנות
Measure,Caption,Sales[Ranking],Ranking,הדירוג
Measure,Caption,Sales[Rank],Rank,דרגה
Table,Caption,Products,Products,מוצרים
Column,Caption,Products[Price],Price,מחיר
Column,Caption,Products[Image],Image,תמונה
Table,Caption,Calendar,Calendar,לוח שנה
Column,Caption,Calendar[Date],Date,תמר
Column,Caption,Calendar[Year],Year,שנה
Measure,Caption,Localized Labels[Product Sales Report],Product Sales Report,דוח מכירות מוצרים
Measure,Caption,Localized Labels[Sales Summary],Sales Summary,סיכום מכירות
Measure,Caption,Localized Labels[Sales By Country],Sales By Country,מכירות לפי מדינה
Measure,Caption,Localized Labels[Sales By Product],Sales By Product,מכירות לפי מוצר
Measure,Caption,Localized Labels[Filter By Country],Filter By Country,סנן לפי מדינה
Measure,Caption,Localized Labels[Top 10 Customers],Top 10 Customers,10 הלקוחות המובילים
Measure,Caption,Localized Labels[Product Catalog],Product Catalog,קטלוג מוצרים
Measure,Caption,Localized Labels[Set Product Filter],Set Product Filter,הגדר מסנן מוצרים
Measure,Caption,Localized Labels[Set Country Filter],Set Country Filter,הגדרת מסנן מדינה
Measure,Caption,Localized Labels[Time Slices],Time Slices,פרוסות זמן
