Object Type,Property,Name,English [en-US],Japanese [ja-JP]
Table,Caption,Customers,Customers,顧客
Column,Caption,Customers[City],City,都市
Column,Caption,Customers[Customer],Customer,顧客
Column,Caption,Customers[Country],Country,国
Column,Caption,Customers[City Location],City Location,市の所在地
Column,Caption,Customers[Flag],Flag,旗
Column,Caption,Customers[Age],Age,年齢
Table,Caption,Sales,Sales,セールス
Measure,Caption,Sales[Sales Revenue],Sales Revenue,売上高
Measure,Caption,Sales[Units Sold],Units Sold,販売台数
Measure,Caption,Sales[Customer Count],Customers,顧客
Measure,Caption,Sales[First Sale],First Sale,ファーストセール
Measure,Caption,Sales[Last Sale],Last Sale,最終販売
Measure,Caption,Sales[Orders],Orders,詻
Measure,Caption,Sales[Ranking],Ranking,ランキング
Measure,Caption,Sales[Rank],Rank,位
Table,Caption,Products,Products,プロダクツ
Column,Caption,Products[Price],Price,価格
Column,Caption,Products[Image],Image,画像
Table,Caption,Calendar,Calendar,暦
Column,Caption,Calendar[Date],Date,日付
Column,Caption,Calendar[Year],Year,年
Measure,Caption,Localized Labels[Product Sales Report],Product Sales Report,製品販売レポート
Measure,Caption,Localized Labels[Sales Summary],Sales Summary,売上概要
Measure,Caption,Localized Labels[Sales By Country],Sales By Country,国別の売上高
Measure,Caption,Localized Labels[Sales By Product],Sales By Product,製品別売上
Measure,Caption,Localized Labels[Filter By Country],Filter By Country,国によるフィルター
Measure,Caption,Localized Labels[Top 10 Customers],Top 10 Customers,上位 10 社の顧客
Measure,Caption,Localized Labels[Product Catalog],Product Catalog,製品カタログ
Measure,Caption,Localized Labels[Set Product Filter],Set Product Filter,製品フィルターの設定
Measure,Caption,Localized Labels[Set Country Filter],Set Country Filter,国フィルターの設定
Measure,Caption,Localized Labels[Time Slices],Time Slices,タイム スライス
