Object Type,Property,Name,English [en-US],German [de-DE]
Table,Caption,Customers,Customers,Kundschaft
Column,Caption,Customers[City],City,Stadt
Column,Caption,Customers[Customer],Customer,Kunde
Column,Caption,Customers[Country],Country,Land
Column,Caption,Customers[City Location],City Location,Lage Der Stadt
Column,Caption,Customers[Flag],Flag,Flagge
Column,Caption,Customers[Age],Age,Alter
Table,Caption,Sales,Sales,Umsatz
Measure,Caption,Sales[Sales Revenue],Sales Revenue,Umsatz
Measure,Caption,Sales[Units Sold],Units Sold,Verkaufte Einheiten
Measure,Caption,Sales[Customer Count],Customers,Kundschaft
Measure,Caption,Sales[First Sale],First Sale,Erster Verkauf
Measure,Caption,Sales[Last Sale],Last Sale,Letzter Verkauf
Measure,Caption,Sales[Orders],Orders,Aufträge
Measure,Caption,Sales[Ranking],Ranking,Rangordnung
Measure,Caption,Sales[Rank],Rank,Rang
Table,Caption,Products,Products,Produkte
Column,Caption,Products[Price],Price,Preis
Column,Caption,Products[Image],Image,Bild
Table,Caption,Calendar,Calendar,Kalender
Column,Caption,Calendar[Date],Date,Datum
Column,Caption,Calendar[Year],Year,Jahr
Measure,Caption,Localized Labels[Product Sales Report],Product Sales Report,Produktverkaufsbericht
Measure,Caption,Localized Labels[Sales Summary],Sales Summary,Zusammenfassung
Measure,Caption,Localized Labels[Sales By Country],Sales By Country,Umsatz Nach Ländern
Measure,Caption,Localized Labels[Sales By Product],Sales By Product,Umsatz Nach Produkt
Measure,Caption,Localized Labels[Filter By Country],Filter By Country,Filtern Nach Land
Measure,Caption,Localized Labels[Top 10 Customers],Top 10 Customers,Top 10 Kunden
Measure,Caption,Localized Labels[Product Catalog],Product Catalog,Produktkatalog
Measure,Caption,Localized Labels[Set Product Filter],Set Product Filter,Produktfilter Einstellen
Measure,Caption,Localized Labels[Set Country Filter],Set Country Filter,Länderfilter Einstellen
Measure,Caption,Localized Labels[Time Slices],Time Slices,Zeitscheiben
