Object Type,Property,Name,English [en-US],Chinese [zh-CN]
Table,Caption,Customers,Customers,客户
Column,Caption,Customers[City],City,城市
Column,Caption,Customers[Customer],Customer,客户
Column,Caption,Customers[Country],Country,国家
Column,Caption,Customers[City Location],City Location,城市位置
Column,Caption,Customers[Flag],Flag,旗
Column,Caption,Customers[Age],Age,年龄
Table,Caption,Sales,Sales,销售
Measure,Caption,Sales[Sales Revenue],Sales Revenue,销售收入
Measure,Caption,Sales[Units Sold],Units Sold,已售单位
Measure,Caption,Sales[Customer Count],Customers,客户
Measure,Caption,Sales[First Sale],First Sale,首次销售
Measure,Caption,Sales[Last Sale],Last Sale,最后销售
Measure,Caption,Sales[Orders],Orders,订单
Measure,Caption,Sales[Ranking],Ranking,排名
Measure,Caption,Sales[Rank],Rank,排
Table,Caption,Products,Products,产品
Column,Caption,Products[Price],Price,价格
Column,Caption,Products[Image],Image,图像
Table,Caption,Calendar,Calendar,日历
Column,Caption,Calendar[Date],Date,日期
Column,Caption,Calendar[Year],Year,年
Measure,Caption,Localized Labels[Product Sales Report],Product Sales Report,产品销售报告
Measure,Caption,Localized Labels[Sales Summary],Sales Summary,销售摘要
Measure,Caption,Localized Labels[Sales By Country],Sales By Country,按国家/地区划分的销售额
Measure,Caption,Localized Labels[Sales By Product],Sales By Product,各产品销售额
Measure,Caption,Localized Labels[Filter By Country],Filter By Country,按国家/地区筛选
Measure,Caption,Localized Labels[Top 10 Customers],Top 10 Customers,前 10 名客户
Measure,Caption,Localized Labels[Product Catalog],Product Catalog,产品目录
Measure,Caption,Localized Labels[Set Product Filter],Set Product Filter,设置产品过滤器
Measure,Caption,Localized Labels[Set Country Filter],Set Country Filter,设置国家/地区过滤器
Measure,Caption,Localized Labels[Time Slices],Time Slices,时间片
