Object Type,Property,Name,English [en-US],Russian [ru-RU]
Table,Caption,Customers,Customers,Клиентов
Column,Caption,Customers[City],City,Город
Column,Caption,Customers[Customer],Customer,Клиент
Column,Caption,Customers[Country],Country,Страна
Column,Caption,Customers[City Location],City Location,Расположение Города
Column,Caption,Customers[Flag],Flag,Флаг
Column,Caption,Customers[Age],Age,Возраст
Table,Caption,Sales,Sales,Сбытовой
Measure,Caption,Sales[Sales Revenue],Sales Revenue,Выручка От Продаж
Measure,Caption,Sales[Units Sold],Units Sold,Проданные Единицы
Measure,Caption,Sales[Customer Count],Customers,Клиентов
Measure,Caption,Sales[First Sale],First Sale,Первая Продажа
Measure,Caption,Sales[Last Sale],Last Sale,Последняя Продажа
Measure,Caption,Sales[Orders],Orders,Заказы
Measure,Caption,Sales[Ranking],Ranking,Ранжирование
Measure,Caption,Sales[Rank],Rank,Ранг
Table,Caption,Products,Products,Продукция
Column,Caption,Products[Price],Price,Цена
Column,Caption,Products[Image],Image,Образ
Table,Caption,Calendar,Calendar,Календарь
Column,Caption,Calendar[Date],Date,Дата
Column,Caption,Calendar[Year],Year,Год
Measure,Caption,Localized Labels[Product Sales Report],Product Sales Report,Отчет О Продажах Продукции
Measure,Caption,Localized Labels[Sales Summary],Sales Summary,Сводка По Продажам
Measure,Caption,Localized Labels[Sales By Country],Sales By Country,Продажи По Странам
Measure,Caption,Localized Labels[Sales By Product],Sales By Product,Продажи По Продуктам
Measure,Caption,Localized Labels[Filter By Country],Filter By Country,Фильтр По Странам
Measure,Caption,Localized Labels[Top 10 Customers],Top 10 Customers,Топ 10 Клиентов
Measure,Caption,Localized Labels[Product Catalog],Product Catalog,Каталог Продукции
Measure,Caption,Localized Labels[Set Product Filter],Set Product Filter,Настройка Фильтра Продуктов
Measure,Caption,Localized Labels[Set Country Filter],Set Country Filter,Настройка Фильтра Стран
Measure,Caption,Localized Labels[Time Slices],Time Slices,Временные Срезы
